epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2063,0.1709,0.1145,0.2417,0.2237
0,1,1,0.2043,0.1698,0.1125,0.2387,0.2214
0,2,2,0.2073,0.1754,0.1088,0.2391,0.2215
0,3,3,0.2145,0.1877,0.1183,0.2412,0.2238
0,4,4,0.2109,0.1810,0.1123,0.2408,0.2237
0,5,5,0.2168,0.1911,0.1246,0.2426,0.2255
0,6,6,0.2177,0.1944,0.1284,0.2409,0.2239
0,7,7,0.2198,0.1989,0.1173,0.2408,0.2232
0,8,8,0.2210,0.1966,0.1217,0.2454,0.2266
0,9,9,0.2228,0.2011,0.1197,0.2444,0.2260
0,10,10,0.2312,0.2168,0.1215,0.2456,0.2263
0,11,11,0.2566,0.2626,0.1404,0.2506,0.2298
0,12,12,0.2656,0.2782,0.1420,0.2529,0.2317
0,13,13,0.2881,0.3207,0.1571,0.2556,0.2333
0,14,14,0.3011,0.3475,0.1666,0.2547,0.2320
0,15,15,0.3052,0.3508,0.1570,0.2596,0.2349
0,16,16,0.3202,0.3799,0.1669,0.2604,0.2346
0,17,17,0.3332,0.4011,0.1697,0.2652,0.2385
0,18,18,0.3387,0.4112,0.1656,0.2663,0.2373
0,19,19,0.3458,0.4212,0.1658,0.2703,0.2396
0,20,20,0.3495,0.4302,0.1676,0.2687,0.2365
0,21,21,0.3594,0.4480,0.1661,0.2708,0.2363
0,22,22,0.3708,0.4670,0.1709,0.2745,0.2383
0,23,23,0.3763,0.4782,0.1670,0.2743,0.2372
0,24,24,0.3928,0.5084,0.1705,0.2772,0.2401
0,25,25,0.4042,0.5307,0.1728,0.2777,0.2397
0,26,26,0.4027,0.5251,0.1654,0.2802,0.2433
0,27,27,0.4086,0.5341,0.1690,0.2832,0.2455
0,28,28,0.3980,0.5140,0.1603,0.2821,0.2444
0,29,29,0.4109,0.5341,0.1611,0.2877,0.2495
0,30,30,0.4120,0.5363,0.1636,0.2877,0.2499
0,31,31,0.4067,0.5240,0.1583,0.2893,0.2507
0,32,32,0.4128,0.5363,0.1578,0.2893,0.2500
0,33,33,0.4171,0.5408,0.1686,0.2934,0.2550
0,34,34,0.4117,0.5274,0.1613,0.2960,0.2569
0,35,35,0.4185,0.5374,0.1583,0.2995,0.2592
0,36,36,0.4187,0.5385,0.1664,0.2988,0.2577
0,37,37,0.4257,0.5497,0.1676,0.3016,0.2601
0,38,38,0.4231,0.5408,0.1641,0.3054,0.2634
0,39,39,0.4266,0.5453,0.1644,0.3079,0.2656
0,40,40,0.4300,0.5497,0.1616,0.3103,0.2677
0,41,41,0.4340,0.5508,0.1646,0.3172,0.2712
0,42,42,0.4305,0.5453,0.1571,0.3158,0.2694
0,43,43,0.4382,0.5520,0.1578,0.3245,0.2755
0,44,44,0.4440,0.5609,0.1550,0.3271,0.2777
0,45,45,0.4421,0.5564,0.1544,0.3279,0.2780
0,46,46,0.4467,0.5598,0.1548,0.3337,0.2810
0,47,47,0.4485,0.5620,0.1578,0.3349,0.2826
0,48,48,0.4481,0.5609,0.1504,0.3353,0.2811
0,49,49,0.4513,0.5665,0.1556,0.3362,0.2828
0,50,50,0.4478,0.5575,0.1497,0.3380,0.2845
0,55,55,0.4540,0.5676,0.1631,0.3404,0.2828
0,60,60,0.4549,0.5642,0.1525,0.3455,0.2849
0,65,65,0.4615,0.5721,0.1565,0.3510,0.2867
0,70,70,0.4612,0.5687,0.1583,0.3537,0.2863
0,75,75,0.4641,0.5665,0.1578,0.3618,0.2893
0,80,80,0.4698,0.5754,0.1638,0.3643,0.2871
0,85,85,0.4736,0.5765,0.1616,0.3708,0.2904
0,90,90,0.4775,0.5855,0.1626,0.3695,0.2868
0,95,95,0.4848,0.5955,0.1613,0.3741,0.2887
0,100,100,0.4883,0.6022,0.1639,0.3743,0.2868
0,105,105,0.4842,0.5966,0.1653,0.3718,0.2832
0,110,110,0.4874,0.6000,0.1660,0.3748,0.2838
0,115,115,0.4916,0.6078,0.1673,0.3754,0.2853
0,120,120,0.4938,0.6134,0.1755,0.3743,0.2827
0,125,125,0.4880,0.6022,0.1629,0.3737,0.2796
0,130,130,0.4934,0.6134,0.1624,0.3735,0.2776
0,135,135,0.4903,0.6067,0.1655,0.3739,0.2769
0,140,140,0.4919,0.6089,0.1680,0.3748,0.2777
0,145,145,0.4921,0.6056,0.1688,0.3787,0.2800
0,150,150,0.4948,0.6123,0.1666,0.3774,0.2784
0,155,155,0.4924,0.6101,0.1632,0.3747,0.2747
0,160,160,0.5003,0.6235,0.1764,0.3771,0.2764
0,165,165,0.5035,0.6291,0.1714,0.3779,0.2739
0,170,170,0.4996,0.6235,0.1729,0.3757,0.2724
0,175,175,0.5036,0.6313,0.1725,0.3760,0.2729
0,180,180,0.5010,0.6246,0.1742,0.3775,0.2746
0,185,185,0.5038,0.6291,0.1766,0.3786,0.2735
0,190,190,0.5028,0.6279,0.1741,0.3776,0.2709
0,195,195,0.4997,0.6201,0.1739,0.3793,0.2705
0,200,200,0.5026,0.6257,0.1795,0.3795,0.2707
0,300,300,0.5027,0.6223,0.1725,0.3830,0.2747
0,400,400,0.5044,0.6268,0.1778,0.3821,0.2726
0,500,500,0.5066,0.6302,0.1755,0.3831,0.2732
0,600,600,0.5064,0.6313,0.1768,0.3815,0.2721
0,700,700,0.5071,0.6313,0.1777,0.3828,0.2734
0,800,800,0.5037,0.6257,0.1741,0.3817,0.2725
0,900,900,0.5058,0.6302,0.1744,0.3814,0.2712
0,1000,1000,0.5071,0.6313,0.1750,0.3828,0.2731
0,1100,1100,0.5063,0.6291,0.1742,0.3835,0.2735
0,1200,1200,0.5078,0.6324,0.1759,0.3832,0.2718
0,1300,1300,0.5045,0.6291,0.1741,0.3800,0.2708
