epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2360,0.2212,0.1510,0.2507,0.2222
0,1,1,0.2453,0.2391,0.1561,0.2516,0.2232
0,2,2,0.2552,0.2581,0.1698,0.2522,0.2234
0,3,3,0.2569,0.2615,0.1634,0.2524,0.2234
0,4,4,0.2634,0.2749,0.1649,0.2520,0.2241
0,5,5,0.2716,0.2905,0.1722,0.2526,0.2236
0,6,6,0.2803,0.3073,0.1762,0.2534,0.2252
0,7,7,0.2851,0.3173,0.1778,0.2529,0.2245
0,8,8,0.2880,0.3251,0.1812,0.2509,0.2215
0,9,9,0.3011,0.3453,0.1824,0.2569,0.2284
0,10,10,0.3138,0.3765,0.1924,0.2511,0.2219
0,11,11,0.3308,0.4089,0.2026,0.2526,0.2246
0,12,12,0.3473,0.4413,0.2027,0.2533,0.2240
0,13,13,0.3590,0.4637,0.2065,0.2543,0.2249
0,14,14,0.3647,0.4737,0.2103,0.2556,0.2286
0,15,15,0.3754,0.4939,0.2096,0.2569,0.2280
0,16,16,0.3801,0.5017,0.2058,0.2585,0.2309
0,17,17,0.3780,0.4972,0.2069,0.2589,0.2321
0,18,18,0.3853,0.5073,0.2029,0.2634,0.2355
0,19,19,0.3874,0.5095,0.2024,0.2654,0.2383
0,20,20,0.3897,0.5095,0.1996,0.2699,0.2439
0,21,21,0.3997,0.5263,0.2043,0.2732,0.2459
0,22,22,0.4022,0.5296,0.2081,0.2749,0.2474
0,23,23,0.4069,0.5341,0.2071,0.2798,0.2527
0,24,24,0.4100,0.5385,0.2076,0.2815,0.2528
0,25,25,0.4209,0.5520,0.2087,0.2898,0.2606
0,26,26,0.4195,0.5464,0.2016,0.2927,0.2607
0,27,27,0.4221,0.5497,0.2027,0.2945,0.2604
0,28,28,0.4323,0.5687,0.2055,0.2959,0.2601
0,29,29,0.4334,0.5676,0.2056,0.2993,0.2610
0,30,30,0.4379,0.5721,0.2054,0.3037,0.2641
0,31,31,0.4364,0.5676,0.2083,0.3051,0.2638
0,32,32,0.4379,0.5698,0.2059,0.3060,0.2644
0,33,33,0.4354,0.5631,0.2055,0.3076,0.2633
0,34,34,0.4447,0.5810,0.2091,0.3084,0.2606
0,35,35,0.4441,0.5810,0.2050,0.3072,0.2587
0,36,36,0.4503,0.5866,0.2149,0.3141,0.2621
0,37,37,0.4453,0.5765,0.2033,0.3141,0.2615
0,38,38,0.4469,0.5765,0.2057,0.3172,0.2615
0,39,39,0.4461,0.5743,0.2017,0.3179,0.2642
0,40,40,0.4629,0.6034,0.2183,0.3225,0.2641
0,41,41,0.4556,0.5855,0.2086,0.3258,0.2662
0,42,42,0.4569,0.5877,0.2109,0.3262,0.2637
0,43,43,0.4628,0.5978,0.2042,0.3277,0.2647
0,44,44,0.4564,0.5844,0.2030,0.3285,0.2644
0,45,45,0.4627,0.5966,0.2021,0.3288,0.2643
0,46,46,0.4622,0.5955,0.2063,0.3289,0.2644
0,47,47,0.4704,0.6089,0.2118,0.3318,0.2664
0,48,48,0.4690,0.6078,0.2044,0.3301,0.2648
0,49,49,0.4679,0.6011,0.2098,0.3348,0.2692
0,50,50,0.4726,0.6112,0.2139,0.3340,0.2668
0,55,55,0.4717,0.6056,0.2147,0.3378,0.2697
0,60,60,0.4815,0.6201,0.2117,0.3429,0.2751
0,65,65,0.4889,0.6335,0.2193,0.3442,0.2711
0,70,70,0.4933,0.6358,0.2198,0.3507,0.2782
0,75,75,0.4983,0.6402,0.2252,0.3565,0.2804
0,80,80,0.4948,0.6324,0.2205,0.3572,0.2781
0,85,85,0.4979,0.6380,0.2213,0.3578,0.2792
0,90,90,0.5067,0.6514,0.2231,0.3621,0.2786
0,95,95,0.5098,0.6514,0.2259,0.3682,0.2813
0,100,100,0.5096,0.6525,0.2242,0.3667,0.2786
0,105,105,0.5144,0.6615,0.2259,0.3674,0.2811
0,110,110,0.5179,0.6637,0.2267,0.3721,0.2842
0,115,115,0.5215,0.6682,0.2258,0.3749,0.2860
0,120,120,0.5206,0.6670,0.2247,0.3741,0.2846
0,125,125,0.5271,0.6782,0.2278,0.3760,0.2783
0,130,130,0.5248,0.6715,0.2241,0.3780,0.2829
0,135,135,0.5315,0.6827,0.2310,0.3804,0.2805
0,140,140,0.5280,0.6760,0.2273,0.3801,0.2816
0,145,145,0.5284,0.6760,0.2256,0.3809,0.2794
0,150,150,0.5269,0.6715,0.2259,0.3822,0.2836
0,155,155,0.5356,0.6872,0.2351,0.3841,0.2862
0,160,160,0.5345,0.6827,0.2290,0.3862,0.2870
0,165,165,0.5336,0.6816,0.2287,0.3857,0.2858
0,170,170,0.5405,0.6916,0.2348,0.3895,0.2889
0,175,175,0.5380,0.6849,0.2321,0.3912,0.2877
0,180,180,0.5423,0.6905,0.2341,0.3940,0.2933
0,185,185,0.5438,0.6950,0.2372,0.3926,0.2898
0,190,190,0.5426,0.6916,0.2361,0.3936,0.2895
0,195,195,0.5447,0.6916,0.2337,0.3978,0.2922
0,200,200,0.5447,0.6883,0.2329,0.4012,0.3015
0,300,300,0.5513,0.6961,0.2429,0.4065,0.2992
0,400,400,0.5500,0.6939,0.2406,0.4062,0.3018
0,500,500,0.5477,0.6894,0.2341,0.4061,0.2974
0,600,600,0.5500,0.6927,0.2371,0.4073,0.3004
0,700,700,0.5493,0.6916,0.2367,0.4069,0.3005
0,800,800,0.5477,0.6894,0.2338,0.4061,0.3002
0,900,900,0.5488,0.6905,0.2578,0.4071,0.2997
0,1000,1000,0.5460,0.6838,0.2294,0.4082,0.3034
0,1100,1100,0.5488,0.6939,0.2436,0.4038,0.2960
0,1200,1200,0.5466,0.6849,0.2323,0.4083,0.3025
0,1300,1300,0.5485,0.6894,0.2306,0.4077,0.2992
