epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2588,0.2872,0.1497,0.2304,0.1883
0,1,1,0.2691,0.3061,0.1562,0.2321,0.1917
0,2,2,0.2710,0.3106,0.1589,0.2313,0.1914
0,3,3,0.2744,0.3151,0.1560,0.2338,0.1931
0,4,4,0.2780,0.3218,0.1604,0.2343,0.1941
0,5,5,0.2839,0.3330,0.1604,0.2348,0.1940
0,6,6,0.2857,0.3385,0.1626,0.2329,0.1928
0,7,7,0.2867,0.3385,0.1565,0.2348,0.1950
0,8,8,0.2939,0.3542,0.1641,0.2335,0.1932
0,9,9,0.2943,0.3520,0.1648,0.2366,0.1961
0,10,10,0.3049,0.3721,0.1689,0.2377,0.1969
0,11,11,0.3156,0.3911,0.1733,0.2402,0.1988
0,12,12,0.3318,0.4223,0.1764,0.2413,0.1991
0,13,13,0.3407,0.4380,0.1789,0.2434,0.2008
0,14,14,0.3499,0.4514,0.1823,0.2485,0.2063
0,15,15,0.3557,0.4603,0.1820,0.2511,0.2069
0,16,16,0.3693,0.4838,0.1931,0.2548,0.2124
0,17,17,0.3739,0.4894,0.1874,0.2583,0.2155
0,18,18,0.3835,0.5061,0.2003,0.2608,0.2179
0,19,19,0.3847,0.5061,0.1988,0.2632,0.2191
0,20,20,0.3883,0.5050,0.1825,0.2715,0.2257
0,21,21,0.3912,0.5084,0.1797,0.2739,0.2290
0,22,22,0.3936,0.5106,0.1953,0.2765,0.2305
0,23,23,0.3898,0.5017,0.1878,0.2780,0.2320
0,24,24,0.4038,0.5229,0.1976,0.2847,0.2374
0,25,25,0.3999,0.5117,0.1885,0.2880,0.2397
0,26,26,0.4045,0.5162,0.2004,0.2928,0.2434
0,27,27,0.4115,0.5274,0.1914,0.2956,0.2459
0,28,28,0.4146,0.5296,0.1998,0.2997,0.2469
0,29,29,0.4229,0.5385,0.1943,0.3072,0.2508
0,30,30,0.4111,0.5151,0.1900,0.3072,0.2511
0,31,31,0.4188,0.5240,0.1981,0.3136,0.2538
0,32,32,0.4304,0.5453,0.1930,0.3155,0.2531
0,33,33,0.4292,0.5419,0.1930,0.3166,0.2529
0,34,34,0.4357,0.5497,0.1875,0.3216,0.2546
0,35,35,0.4375,0.5508,0.1855,0.3241,0.2533
0,36,36,0.4423,0.5564,0.1869,0.3281,0.2551
0,37,37,0.4433,0.5575,0.1885,0.3290,0.2543
0,38,38,0.4425,0.5553,0.1949,0.3297,0.2552
0,39,39,0.4488,0.5654,0.1880,0.3322,0.2539
0,40,40,0.4509,0.5665,0.2029,0.3353,0.2545
0,41,41,0.4529,0.5721,0.1919,0.3337,0.2530
0,42,42,0.4545,0.5721,0.2084,0.3370,0.2545
0,43,43,0.4583,0.5765,0.1888,0.3401,0.2549
0,44,44,0.4532,0.5676,0.1877,0.3388,0.2539
0,45,45,0.4521,0.5631,0.1853,0.3410,0.2555
0,46,46,0.4623,0.5821,0.1889,0.3424,0.2540
0,47,47,0.4625,0.5788,0.1858,0.3462,0.2594
0,48,48,0.4567,0.5709,0.1836,0.3424,0.2547
0,49,49,0.4590,0.5743,0.1840,0.3437,0.2566
0,50,50,0.4696,0.5922,0.1907,0.3470,0.2592
0,55,55,0.4678,0.5899,0.1916,0.3457,0.2593
0,60,60,0.4801,0.6089,0.1966,0.3513,0.2642
0,65,65,0.4880,0.6168,0.2111,0.3593,0.2683
0,70,70,0.4871,0.6145,0.2009,0.3597,0.2716
0,75,75,0.4948,0.6279,0.1975,0.3617,0.2721
0,80,80,0.4985,0.6302,0.1982,0.3669,0.2771
0,85,85,0.5020,0.6346,0.1989,0.3693,0.2806
0,90,90,0.5052,0.6369,0.2040,0.3736,0.2867
0,95,95,0.5089,0.6402,0.2085,0.3776,0.2856
0,100,100,0.5136,0.6447,0.2056,0.3826,0.2893
0,105,105,0.5190,0.6480,0.2260,0.3900,0.2979
0,110,110,0.5241,0.6547,0.2289,0.3934,0.3014
0,115,115,0.5213,0.6492,0.2073,0.3935,0.3024
