epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.3770,0.4089,0.1486,0.3450,0.2957
0,1,1,0.3797,0.4168,0.1516,0.3427,0.2928
0,2,2,0.3897,0.4358,0.1532,0.3437,0.2936
0,3,3,0.3930,0.4391,0.1484,0.3468,0.2957
0,4,4,0.4031,0.4570,0.1512,0.3492,0.2954
0,5,5,0.4106,0.4726,0.1537,0.3485,0.2943
0,6,6,0.4159,0.4838,0.1556,0.3480,0.2908
0,7,7,0.4213,0.4939,0.1539,0.3488,0.2913
0,8,8,0.4274,0.5039,0.1544,0.3509,0.2944
0,9,9,0.4317,0.5106,0.1584,0.3527,0.2941
0,10,10,0.4393,0.5251,0.1546,0.3535,0.2916
0,11,11,0.4516,0.5453,0.1586,0.3580,0.2922
0,12,12,0.4552,0.5520,0.1591,0.3584,0.2907
0,13,13,0.4604,0.5620,0.1578,0.3588,0.2925
0,14,14,0.4650,0.5687,0.1598,0.3613,0.2945
0,15,15,0.4699,0.5777,0.1581,0.3622,0.2923
0,16,16,0.4736,0.5832,0.1561,0.3640,0.2951
0,17,17,0.4775,0.5899,0.1510,0.3650,0.2938
0,18,18,0.4788,0.5933,0.1539,0.3643,0.2922
0,19,19,0.4810,0.5933,0.1537,0.3687,0.2941
0,20,20,0.4838,0.6011,0.1579,0.3665,0.2896
0,21,21,0.4841,0.6000,0.1517,0.3683,0.2886
0,22,22,0.4883,0.6078,0.1558,0.3687,0.2875
0,23,23,0.4905,0.6134,0.1565,0.3676,0.2849
0,24,24,0.4899,0.6101,0.1590,0.3697,0.2866
0,25,25,0.4946,0.6190,0.1603,0.3701,0.2825
0,26,26,0.4959,0.6212,0.1685,0.3705,0.2799
0,27,27,0.4954,0.6201,0.1599,0.3708,0.2782
0,28,28,0.4924,0.6168,0.1535,0.3680,0.2778
0,29,29,0.4929,0.6156,0.1591,0.3702,0.2754
0,30,30,0.4944,0.6168,0.1593,0.3721,0.2764
0,31,31,0.4972,0.6212,0.1600,0.3731,0.2761
0,32,32,0.4983,0.6212,0.1654,0.3753,0.2773
0,33,33,0.4967,0.6223,0.1601,0.3712,0.2709
0,34,34,0.4997,0.6257,0.1600,0.3736,0.2725
0,35,35,0.5027,0.6291,0.1608,0.3763,0.2738
0,36,36,0.4993,0.6235,0.1566,0.3750,0.2731
0,37,37,0.5038,0.6313,0.1582,0.3763,0.2731
0,38,38,0.5008,0.6235,0.1537,0.3780,0.2734
0,39,39,0.5039,0.6313,0.1610,0.3766,0.2699
0,40,40,0.5051,0.6302,0.1550,0.3800,0.2725
0,41,41,0.5069,0.6346,0.1556,0.3791,0.2687
0,42,42,0.5062,0.6335,0.1523,0.3788,0.2692
0,43,43,0.5091,0.6391,0.1597,0.3791,0.2684
0,44,44,0.5079,0.6346,0.1560,0.3812,0.2698
0,45,45,0.5088,0.6358,0.1526,0.3818,0.2689
0,46,46,0.5088,0.6358,0.1561,0.3819,0.2690
0,47,47,0.5084,0.6346,0.1624,0.3822,0.2691
0,48,48,0.5083,0.6335,0.1591,0.3831,0.2683
0,49,49,0.5089,0.6335,0.1557,0.3843,0.2692
0,50,50,0.5117,0.6380,0.1598,0.3854,0.2706
0,55,55,0.5094,0.6302,0.1484,0.3887,0.2667
0,60,60,0.5123,0.6369,0.1524,0.3877,0.2617
0,65,65,0.5139,0.6369,0.1528,0.3909,0.2610
0,70,70,0.5163,0.6391,0.1528,0.3935,0.2627
0,75,75,0.5158,0.6391,0.1527,0.3926,0.2585
0,80,80,0.5177,0.6425,0.1502,0.3929,0.2547
0,85,85,0.5192,0.6447,0.1506,0.3936,0.2522
0,90,90,0.5195,0.6436,0.1504,0.3955,0.2515
0,95,95,0.5160,0.6346,0.1456,0.3974,0.2514
0,100,100,0.5173,0.6380,0.1462,0.3966,0.2491
0,105,105,0.5148,0.6358,0.1458,0.3939,0.2460
0,110,110,0.5198,0.6436,0.1539,0.3960,0.2424
0,115,115,0.5201,0.6425,0.1466,0.3977,0.2419
0,120,120,0.5181,0.6391,0.1462,0.3971,0.2410
0,125,125,0.5212,0.6436,0.1501,0.3988,0.2398
0,130,130,0.5210,0.6436,0.1495,0.3984,0.2377
0,135,135,0.5187,0.6402,0.1455,0.3973,0.2355
0,140,140,0.5199,0.6425,0.1522,0.3974,0.2349
0,145,145,0.5213,0.6458,0.1521,0.3969,0.2353
