epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1912,0.1564,0.1150,0.2260,0.1994
0,1,1,0.2328,0.2335,0.1470,0.2321,0.2032
0,2,2,0.2492,0.2626,0.1523,0.2359,0.2044
0,3,3,0.2693,0.2961,0.1603,0.2425,0.2069
0,4,4,0.2899,0.3352,0.1710,0.2446,0.2063
0,5,5,0.2955,0.3453,0.1718,0.2457,0.2073
0,6,6,0.3076,0.3631,0.1739,0.2520,0.2101
0,7,7,0.3235,0.3877,0.1797,0.2594,0.2143
0,8,8,0.3221,0.3844,0.1739,0.2599,0.2136
0,9,9,0.3286,0.3933,0.1748,0.2639,0.2144
0,10,10,0.3468,0.4235,0.1785,0.2700,0.2146
0,11,11,0.3557,0.4369,0.1740,0.2745,0.2142
0,12,12,0.3718,0.4659,0.1813,0.2776,0.2119
0,13,13,0.3678,0.4536,0.1783,0.2819,0.2145
0,14,14,0.3802,0.4737,0.1893,0.2867,0.2188
0,15,15,0.3839,0.4782,0.1829,0.2897,0.2180
0,16,16,0.3848,0.4782,0.1863,0.2914,0.2199
0,17,17,0.3899,0.4838,0.1807,0.2959,0.2208
0,18,18,0.3961,0.4927,0.1836,0.2995,0.2206
0,19,19,0.4060,0.5061,0.1772,0.3059,0.2215
0,20,20,0.4064,0.5061,0.1817,0.3066,0.2242
0,21,21,0.4085,0.5073,0.1883,0.3097,0.2260
0,22,22,0.4079,0.5061,0.1837,0.3097,0.2233
0,23,23,0.4076,0.4994,0.1801,0.3157,0.2263
0,24,24,0.4085,0.4994,0.1778,0.3175,0.2260
0,25,25,0.4118,0.5028,0.1831,0.3207,0.2277
0,26,26,0.4121,0.5050,0.1775,0.3192,0.2249
0,27,27,0.4168,0.5084,0.1798,0.3251,0.2293
0,28,28,0.4181,0.5151,0.1869,0.3211,0.2232
0,29,29,0.4179,0.5084,0.1808,0.3275,0.2297
0,30,30,0.4237,0.5196,0.1761,0.3279,0.2290
0,31,31,0.4225,0.5140,0.1756,0.3310,0.2297
0,32,32,0.4208,0.5061,0.1740,0.3354,0.2333
0,33,33,0.4257,0.5173,0.1793,0.3340,0.2318
0,34,34,0.4343,0.5307,0.1789,0.3379,0.2302
0,35,35,0.4290,0.5218,0.1719,0.3362,0.2314
0,36,36,0.4305,0.5251,0.1720,0.3359,0.2288
0,37,37,0.4320,0.5274,0.1706,0.3367,0.2283
0,38,38,0.4353,0.5318,0.1766,0.3387,0.2304
0,39,39,0.4403,0.5363,0.1705,0.3444,0.2361
0,40,40,0.4356,0.5274,0.1732,0.3437,0.2359
0,41,41,0.4411,0.5374,0.1689,0.3448,0.2369
0,42,42,0.4399,0.5318,0.1691,0.3479,0.2358
0,43,43,0.4487,0.5453,0.1788,0.3522,0.2410
0,44,44,0.4459,0.5385,0.1679,0.3533,0.2410
0,45,45,0.4483,0.5419,0.1758,0.3548,0.2424
0,46,46,0.4539,0.5497,0.1786,0.3580,0.2435
0,47,47,0.4520,0.5486,0.1752,0.3554,0.2402
0,48,48,0.4529,0.5486,0.1806,0.3571,0.2415
0,49,49,0.4544,0.5486,0.1855,0.3602,0.2438
0,50,50,0.4573,0.5542,0.1862,0.3604,0.2452
0,55,55,0.4736,0.5832,0.1929,0.3640,0.2454
0,60,60,0.4709,0.5732,0.1918,0.3686,0.2472
0,65,65,0.4779,0.5888,0.1918,0.3670,0.2427
0,70,70,0.4899,0.6056,0.1971,0.3743,0.2486
0,75,75,0.5004,0.6246,0.2037,0.3762,0.2505
0,80,80,0.5023,0.6246,0.2043,0.3800,0.2550
0,85,85,0.5045,0.6279,0.1944,0.3812,0.2568
0,90,90,0.5123,0.6402,0.1994,0.3844,0.2603
0,95,95,0.5098,0.6346,0.1974,0.3849,0.2598
0,100,100,0.5161,0.6469,0.1959,0.3853,0.2594
0,105,105,0.5194,0.6536,0.2037,0.3852,0.2601
0,110,110,0.5167,0.6458,0.2018,0.3875,0.2641
0,115,115,0.5191,0.6514,0.2014,0.3867,0.2630
0,120,120,0.5194,0.6525,0.2027,0.3862,0.2610
0,125,125,0.5227,0.6592,0.2086,0.3862,0.2609
0,130,130,0.5208,0.6536,0.2022,0.3880,0.2630
0,135,135,0.5245,0.6615,0.2055,0.3875,0.2604
0,140,140,0.5190,0.6525,0.2001,0.3854,0.2605
0,145,145,0.5253,0.6603,0.2038,0.3903,0.2643
0,150,150,0.5222,0.6570,0.2025,0.3874,0.2629
0,155,155,0.5227,0.6581,0.2027,0.3873,0.2620
0,160,160,0.5204,0.6536,0.1966,0.3871,0.2639
0,165,165,0.5214,0.6570,0.2007,0.3858,0.2603
0,170,170,0.5233,0.6581,0.2000,0.3884,0.2607
0,175,175,0.5210,0.6536,0.1995,0.3884,0.2629
