epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2754,0.2704,0.1463,0.2804,0.2449
0,1,1,0.2896,0.2939,0.1486,0.2854,0.2482
0,2,2,0.3074,0.3240,0.1584,0.2907,0.2498
0,3,3,0.3172,0.3408,0.1677,0.2937,0.2532
0,4,4,0.3300,0.3654,0.1607,0.2947,0.2521
0,5,5,0.3496,0.4045,0.1752,0.2947,0.2508
0,6,6,0.3577,0.4145,0.1712,0.3008,0.2556
0,7,7,0.3714,0.4380,0.1718,0.3047,0.2589
0,8,8,0.3720,0.4425,0.1775,0.3016,0.2558
0,9,9,0.3734,0.4413,0.1748,0.3054,0.2587
0,10,10,0.3884,0.4659,0.1737,0.3109,0.2613
0,11,11,0.4096,0.5006,0.1903,0.3186,0.2658
0,12,12,0.4199,0.5207,0.1861,0.3190,0.2610
0,13,13,0.4406,0.5520,0.1978,0.3293,0.2669
0,14,14,0.4476,0.5553,0.1945,0.3398,0.2712
0,15,15,0.4515,0.5587,0.1845,0.3444,0.2749
0,16,16,0.4584,0.5709,0.1916,0.3458,0.2700
0,17,17,0.4665,0.5810,0.1910,0.3520,0.2720
0,18,18,0.4754,0.5955,0.1953,0.3553,0.2720
0,19,19,0.4772,0.5955,0.1883,0.3589,0.2739
0,20,20,0.4823,0.6011,0.1966,0.3635,0.2773
0,21,21,0.4822,0.6011,0.1925,0.3632,0.2776
0,22,22,0.4875,0.6089,0.1887,0.3661,0.2752
0,23,23,0.4897,0.6112,0.1835,0.3683,0.2783
0,24,24,0.4904,0.6123,0.1845,0.3686,0.2793
0,25,25,0.4928,0.6145,0.1863,0.3712,0.2796
0,26,26,0.4939,0.6179,0.1823,0.3699,0.2770
0,27,27,0.4922,0.6123,0.1832,0.3721,0.2793
0,28,28,0.4987,0.6235,0.1831,0.3740,0.2762
0,29,29,0.4983,0.6235,0.1890,0.3731,0.2778
0,30,30,0.4992,0.6246,0.1873,0.3737,0.2763
0,31,31,0.4988,0.6223,0.1802,0.3752,0.2765
0,32,32,0.5040,0.6302,0.1843,0.3779,0.2778
0,33,33,0.5046,0.6335,0.1795,0.3757,0.2730
0,34,34,0.5039,0.6324,0.1984,0.3754,0.2735
0,35,35,0.5007,0.6268,0.1933,0.3745,0.2724
0,36,36,0.5062,0.6335,0.1887,0.3788,0.2788
0,37,37,0.5063,0.6335,0.1874,0.3791,0.2758
0,38,38,0.5108,0.6436,0.2136,0.3780,0.2734
0,39,39,0.5109,0.6436,0.2228,0.3783,0.2721
0,40,40,0.5114,0.6413,0.1969,0.3814,0.2739
0,41,41,0.5113,0.6402,0.1940,0.3823,0.2738
0,42,42,0.5137,0.6458,0.1949,0.3815,0.2737
0,43,43,0.5118,0.6425,0.1959,0.3812,0.2732
0,44,44,0.5140,0.6447,0.1964,0.3832,0.2756
0,45,45,0.5152,0.6480,0.1985,0.3823,0.2717
0,46,46,0.5164,0.6480,0.1963,0.3847,0.2745
0,47,47,0.5146,0.6436,0.1982,0.3856,0.2746
0,48,48,0.5145,0.6480,0.2012,0.3810,0.2706
0,49,49,0.5159,0.6492,0.2100,0.3827,0.2723
0,50,50,0.5160,0.6480,0.1980,0.3839,0.2716
0,55,55,0.5177,0.6536,0.2077,0.3817,0.2698
0,60,60,0.5156,0.6492,0.2012,0.3821,0.2663
0,65,65,0.5192,0.6547,0.2077,0.3836,0.2690
0,70,70,0.5204,0.6603,0.2103,0.3805,0.2645
0,75,75,0.5177,0.6536,0.2081,0.3818,0.2666
0,80,80,0.5169,0.6559,0.2174,0.3779,0.2645
0,85,85,0.5153,0.6525,0.2171,0.3780,0.2662
0,90,90,0.5158,0.6547,0.2109,0.3769,0.2631
0,95,95,0.5154,0.6525,0.2088,0.3783,0.2636
0,100,100,0.5174,0.6547,0.2093,0.3801,0.2646
0,105,105,0.5175,0.6536,0.2120,0.3813,0.2637
0,110,110,0.5131,0.6469,0.2026,0.3793,0.2649
0,115,115,0.5176,0.6547,0.2050,0.3804,0.2632
0,120,120,0.5184,0.6536,0.2103,0.3831,0.2652
0,125,125,0.5182,0.6547,0.2133,0.3817,0.2631
0,130,130,0.5199,0.6559,0.2158,0.3840,0.2640
0,135,135,0.5213,0.6581,0.2147,0.3844,0.2656
0,140,140,0.5254,0.6659,0.2214,0.3849,0.2633
0,145,145,0.5230,0.6603,0.2148,0.3857,0.2665
0,150,150,0.5207,0.6581,0.2170,0.3832,0.2618
0,155,155,0.5234,0.6592,0.2120,0.3877,0.2648
0,160,160,0.5231,0.6603,0.2150,0.3858,0.2644
0,165,165,0.5183,0.6503,0.2029,0.3862,0.2651
0,170,170,0.5201,0.6547,0.2048,0.3854,0.2630
0,175,175,0.5189,0.6514,0.2008,0.3864,0.2638
0,180,180,0.5227,0.6570,0.2067,0.3884,0.2634
0,185,185,0.5239,0.6581,0.2044,0.3897,0.2642
0,190,190,0.5231,0.6570,0.2087,0.3892,0.2654
0,195,195,0.5203,0.6536,0.2030,0.3870,0.2634
0,200,200,0.5205,0.6525,0.1979,0.3886,0.2631
0,300,300,0.5199,0.6492,0.2023,0.3906,0.2671
0,400,400,0.5189,0.6503,0.2035,0.3875,0.2641
0,500,500,0.5213,0.6525,0.2011,0.3900,0.2641
0,600,600,0.5194,0.6492,0.2030,0.3896,0.2654
0,700,700,0.5186,0.6469,0.1979,0.3903,0.2656
0,800,800,0.5191,0.6492,0.2022,0.3891,0.2637
0,900,900,0.5216,0.6525,0.2036,0.3906,0.2650
0,1000,1000,0.5205,0.6503,0.2009,0.3906,0.2651
0,1100,1100,0.5199,0.6514,0.2000,0.3883,0.2632
0,1200,1200,0.5199,0.6503,0.2051,0.3895,0.2667
0,1300,1300,0.5193,0.6492,0.1996,0.3893,0.2641
