epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1773,0.1117,0.0782,0.2429,0.2397
0,1,1,0.1798,0.1173,0.0802,0.2424,0.2398
0,2,2,0.1787,0.1162,0.0815,0.2412,0.2387
0,3,3,0.1779,0.1173,0.0801,0.2385,0.2363
0,4,4,0.1763,0.1151,0.0785,0.2374,0.2357
0,5,5,0.1818,0.1251,0.0848,0.2385,0.2372
0,6,6,0.1832,0.1251,0.0820,0.2413,0.2399
0,7,7,0.1838,0.1296,0.0856,0.2379,0.2368
0,8,8,0.1835,0.1285,0.0842,0.2386,0.2379
0,9,9,0.1870,0.1352,0.0858,0.2387,0.2375
0,10,10,0.1893,0.1397,0.0895,0.2390,0.2377
0,11,11,0.1947,0.1497,0.0900,0.2398,0.2387
0,12,12,0.2009,0.1609,0.0931,0.2409,0.2399
0,13,13,0.2084,0.1788,0.1009,0.2381,0.2375
0,14,14,0.2157,0.1899,0.1029,0.2415,0.2409
0,15,15,0.2261,0.2134,0.1096,0.2389,0.2389
0,16,16,0.2423,0.2425,0.1207,0.2421,0.2427
0,17,17,0.2511,0.2603,0.1253,0.2418,0.2428
0,18,18,0.2714,0.2983,0.1356,0.2444,0.2455
0,19,19,0.2843,0.3229,0.1436,0.2457,0.2465
0,20,20,0.3016,0.3575,0.1485,0.2457,0.2470
0,21,21,0.3091,0.3709,0.1487,0.2473,0.2490
0,22,22,0.3118,0.3743,0.1506,0.2494,0.2504
0,23,23,0.3199,0.3888,0.1520,0.2509,0.2523
0,24,24,0.3277,0.4011,0.1551,0.2542,0.2554
0,25,25,0.3289,0.4022,0.1524,0.2556,0.2564
0,26,26,0.3453,0.4324,0.1616,0.2582,0.2591
0,27,27,0.3517,0.4436,0.1625,0.2599,0.2604
0,28,28,0.3629,0.4659,0.1732,0.2598,0.2606
0,29,29,0.3616,0.4626,0.1612,0.2607,0.2608
0,30,30,0.3708,0.4760,0.1661,0.2656,0.2647
0,31,31,0.3686,0.4726,0.1648,0.2646,0.2637
0,32,32,0.3712,0.4737,0.1630,0.2687,0.2673
0,33,33,0.3775,0.4849,0.1655,0.2700,0.2682
0,34,34,0.3896,0.5073,0.1748,0.2719,0.2697
0,35,35,0.3774,0.4804,0.1633,0.2743,0.2720
0,36,36,0.3872,0.4983,0.1655,0.2760,0.2736
0,37,37,0.3947,0.5117,0.1720,0.2777,0.2746
0,38,38,0.3910,0.5017,0.1678,0.2803,0.2768
0,39,39,0.3968,0.5117,0.1695,0.2819,0.2773
0,40,40,0.3942,0.4972,0.1629,0.2911,0.2851
0,41,41,0.4015,0.5117,0.1678,0.2912,0.2848
0,42,42,0.4077,0.5196,0.1693,0.2959,0.2882
0,43,43,0.4084,0.5151,0.1740,0.3016,0.2933
0,44,44,0.4191,0.5352,0.1749,0.3029,0.2941
0,45,45,0.4012,0.4972,0.1646,0.3053,0.2948
0,46,46,0.4115,0.5128,0.1684,0.3102,0.2991
0,47,47,0.4249,0.5385,0.1719,0.3112,0.2992
0,48,48,0.4172,0.5196,0.1672,0.3147,0.3014
0,49,49,0.4150,0.5073,0.1630,0.3228,0.3079
0,50,50,0.4306,0.5363,0.1729,0.3249,0.3094
0,55,55,0.4392,0.5374,0.1668,0.3410,0.3202
0,60,60,0.4389,0.5251,0.1645,0.3527,0.3262
0,65,65,0.4555,0.5486,0.1735,0.3623,0.3329
0,70,70,0.4654,0.5497,0.1714,0.3810,0.3411
0,75,75,0.4745,0.5575,0.1709,0.3916,0.3434
0,80,80,0.4776,0.5575,0.1736,0.3977,0.3446
0,85,85,0.4808,0.5665,0.1766,0.3952,0.3442
0,90,90,0.4833,0.5575,0.1715,0.4090,0.3479
0,95,95,0.4939,0.5687,0.1781,0.4191,0.3523
0,100,100,0.5099,0.5922,0.1781,0.4277,0.3540
0,105,105,0.5123,0.5877,0.1859,0.4369,0.3583
