epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2442,0.2536,0.1263,0.2348,0.1781
0,1,1,0.2490,0.2615,0.1247,0.2365,0.1769
0,2,2,0.2541,0.2749,0.1313,0.2334,0.1741
0,3,3,0.2663,0.2972,0.1360,0.2353,0.1780
0,4,4,0.2766,0.3196,0.1391,0.2337,0.1745
0,5,5,0.2908,0.3475,0.1503,0.2340,0.1763
0,6,6,0.3020,0.3687,0.1533,0.2353,0.1768
0,7,7,0.3240,0.4134,0.1667,0.2346,0.1774
0,8,8,0.3325,0.4313,0.1623,0.2338,0.1755
0,9,9,0.3496,0.4648,0.1740,0.2343,0.1770
0,10,10,0.3737,0.5140,0.1801,0.2334,0.1760
0,11,11,0.3888,0.5441,0.1874,0.2334,0.1768
0,12,12,0.3981,0.5631,0.1832,0.2331,0.1783
0,13,13,0.4020,0.5709,0.1841,0.2330,0.1794
0,14,14,0.4041,0.5754,0.1815,0.2329,0.1797
0,15,15,0.4105,0.5888,0.1880,0.2322,0.1782
0,16,16,0.4092,0.5866,0.1839,0.2317,0.1805
0,17,17,0.4108,0.5899,0.1767,0.2317,0.1805
0,18,18,0.4112,0.5911,0.1769,0.2313,0.1804
0,19,19,0.4138,0.5978,0.1817,0.2298,0.1785
0,20,20,0.4124,0.5966,0.1699,0.2281,0.1783
0,21,21,0.4159,0.6022,0.1761,0.2296,0.1782
0,22,22,0.4209,0.6145,0.1849,0.2273,0.1767
0,23,23,0.4176,0.6067,0.1766,0.2286,0.1772
0,24,24,0.4200,0.6089,0.1740,0.2311,0.1789
0,25,25,0.4228,0.6145,0.1747,0.2311,0.1784
0,26,26,0.4224,0.6134,0.1751,0.2314,0.1763
0,27,27,0.4247,0.6190,0.1764,0.2304,0.1752
0,28,28,0.4242,0.6179,0.1789,0.2305,0.1763
0,29,29,0.4231,0.6134,0.1741,0.2327,0.1785
0,30,30,0.4268,0.6223,0.1761,0.2312,0.1763
0,31,31,0.4274,0.6246,0.1842,0.2301,0.1762
0,32,32,0.4280,0.6235,0.1756,0.2326,0.1786
0,33,33,0.4268,0.6223,0.1754,0.2312,0.1778
0,34,34,0.4269,0.6235,0.1699,0.2304,0.1771
0,35,35,0.4246,0.6201,0.1695,0.2291,0.1770
0,36,36,0.4262,0.6223,0.1706,0.2301,0.1783
0,37,37,0.4269,0.6235,0.1695,0.2304,0.1794
0,38,38,0.4293,0.6291,0.1690,0.2295,0.1786
0,39,39,0.4287,0.6279,0.1707,0.2294,0.1788
0,40,40,0.4302,0.6324,0.1672,0.2279,0.1780
0,41,41,0.4268,0.6246,0.1713,0.2290,0.1803
0,42,42,0.4328,0.6358,0.1716,0.2298,0.1812
0,43,43,0.4278,0.6291,0.1775,0.2266,0.1788
0,44,44,0.4316,0.6346,0.1710,0.2286,0.1810
0,45,45,0.4345,0.6391,0.1750,0.2299,0.1833
0,46,46,0.4324,0.6358,0.1708,0.2290,0.1822
0,47,47,0.4347,0.6391,0.1733,0.2303,0.1815
0,48,48,0.4313,0.6324,0.1730,0.2303,0.1832
0,49,49,0.4377,0.6458,0.1803,0.2295,0.1826
0,50,50,0.4354,0.6402,0.1775,0.2305,0.1842
0,55,55,0.4420,0.6469,0.1829,0.2372,0.1925
0,60,60,0.4473,0.6469,0.1812,0.2477,0.1993
0,65,65,0.4515,0.6469,0.1795,0.2560,0.2051
0,70,70,0.4520,0.6436,0.1778,0.2604,0.2086
0,75,75,0.4607,0.6492,0.1790,0.2723,0.2139
0,80,80,0.4649,0.6503,0.1820,0.2795,0.2178
0,85,85,0.4676,0.6503,0.1833,0.2850,0.2189
0,90,90,0.4722,0.6514,0.1865,0.2930,0.2234
0,95,95,0.4751,0.6547,0.1902,0.2954,0.2204
0,100,100,0.4788,0.6570,0.1880,0.3007,0.2225
0,105,105,0.4820,0.6547,0.1888,0.3092,0.2287
0,110,110,0.4883,0.6570,0.1893,0.3196,0.2316
0,115,115,0.4863,0.6559,0.1910,0.3167,0.2290
0,120,120,0.4866,0.6514,0.1865,0.3218,0.2337
0,125,125,0.4903,0.6525,0.1823,0.3281,0.2367
0,130,130,0.4922,0.6503,0.1823,0.3341,0.2384
0,135,135,0.4969,0.6547,0.1859,0.3391,0.2421
0,140,140,0.4949,0.6458,0.1776,0.3440,0.2428
0,145,145,0.4963,0.6436,0.1806,0.3491,0.2473
0,150,150,0.5025,0.6536,0.1862,0.3514,0.2479
0,155,155,0.4994,0.6458,0.1845,0.3531,0.2511
0,160,160,0.5060,0.6536,0.1881,0.3583,0.2521
0,165,165,0.5057,0.6525,0.1852,0.3589,0.2484
0,170,170,0.5080,0.6559,0.1909,0.3602,0.2492
0,175,175,0.5076,0.6514,0.1913,0.3639,0.2492
0,180,180,0.5116,0.6570,0.1933,0.3662,0.2485
0,185,185,0.5115,0.6536,0.1954,0.3695,0.2495
0,190,190,0.5119,0.6559,0.1965,0.3679,0.2456
0,195,195,0.5089,0.6492,0.1921,0.3687,0.2422
0,200,200,0.5135,0.6559,0.1956,0.3712,0.2451
0,300,300,0.5124,0.6514,0.1909,0.3734,0.2392
0,400,400,0.5124,0.6480,0.1909,0.3767,0.2419
0,500,500,0.5165,0.6547,0.1935,0.3783,0.2425
0,600,600,0.5158,0.6536,0.2060,0.3780,0.2425
0,700,700,0.5156,0.6547,0.1929,0.3765,0.2405
0,800,800,0.5152,0.6536,0.1944,0.3769,0.2403
0,900,900,0.5127,0.6503,0.1905,0.3750,0.2399
0,1000,1000,0.5145,0.6536,0.1943,0.3754,0.2389
0,1100,1100,0.5153,0.6536,0.1963,0.3770,0.2406
0,1200,1200,0.5160,0.6547,0.1963,0.3773,0.2391
0,1300,1300,0.5178,0.6581,0.2006,0.3775,0.2417
