epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1889,0.0358,0.0458,0.3420,0.2804
0,1,1,0.1913,0.0369,0.0472,0.3458,0.2820
0,2,2,0.1933,0.0380,0.0482,0.3487,0.2828
0,3,3,0.1949,0.0380,0.0498,0.3518,0.2820
0,4,4,0.1964,0.0391,0.0504,0.3537,0.2828
0,5,5,0.1976,0.0436,0.0532,0.3517,0.2806
0,6,6,0.1980,0.0402,0.0502,0.3557,0.2802
0,7,7,0.1981,0.0358,0.0469,0.3605,0.2824
0,8,8,0.1973,0.0358,0.0466,0.3589,0.2801
0,9,9,0.1981,0.0346,0.0457,0.3615,0.2807
0,10,10,0.2015,0.0413,0.0482,0.3617,0.2775
0,11,11,0.2101,0.0592,0.0601,0.3609,0.2723
0,12,12,0.2196,0.0771,0.0659,0.3621,0.2708
0,13,13,0.2335,0.1028,0.0790,0.3643,0.2711
0,14,14,0.2416,0.1196,0.0842,0.3636,0.2692
0,15,15,0.2518,0.1385,0.0885,0.3650,0.2690
0,16,16,0.2696,0.1709,0.1051,0.3683,0.2703
0,17,17,0.2769,0.1877,0.1086,0.3661,0.2673
0,18,18,0.2873,0.2045,0.1128,0.3701,0.2704
0,19,19,0.2965,0.2235,0.1159,0.3695,0.2668
0,20,20,0.3115,0.2503,0.1220,0.3727,0.2696
0,21,21,0.3168,0.2615,0.1246,0.3722,0.2678
0,22,22,0.3247,0.2771,0.1270,0.3723,0.2665
0,23,23,0.3392,0.3073,0.1379,0.3712,0.2635
0,24,24,0.3447,0.3162,0.1345,0.3731,0.2646
0,25,25,0.3603,0.3464,0.1411,0.3743,0.2632
0,26,26,0.3640,0.3564,0.1430,0.3715,0.2607
0,27,27,0.3713,0.3654,0.1455,0.3773,0.2649
0,28,28,0.3731,0.3732,0.1480,0.3730,0.2613
0,29,29,0.3835,0.3877,0.1501,0.3792,0.2651
0,30,30,0.3827,0.3911,0.1496,0.3743,0.2589
0,31,31,0.3897,0.4045,0.1512,0.3749,0.2564
0,32,32,0.3878,0.3978,0.1627,0.3778,0.2636
0,33,33,0.3921,0.4078,0.1572,0.3763,0.2595
0,34,34,0.4011,0.4223,0.1552,0.3799,0.2588
0,35,35,0.3955,0.4134,0.1551,0.3775,0.2578
0,36,36,0.4077,0.4358,0.1637,0.3796,0.2588
0,37,37,0.4047,0.4291,0.1616,0.3804,0.2580
0,38,38,0.4108,0.4447,0.1680,0.3770,0.2568
0,39,39,0.4180,0.4570,0.1641,0.3791,0.2566
0,40,40,0.4086,0.4391,0.1645,0.3782,0.2572
0,41,41,0.4270,0.4726,0.1700,0.3813,0.2565
0,42,42,0.4141,0.4492,0.1694,0.3789,0.2571
0,43,43,0.4261,0.4715,0.1699,0.3808,0.2565
0,44,44,0.4314,0.4816,0.1755,0.3813,0.2563
0,45,45,0.4243,0.4659,0.1677,0.3827,0.2568
0,46,46,0.4391,0.4972,0.1719,0.3810,0.2510
0,47,47,0.4384,0.4939,0.1783,0.3830,0.2540
0,48,48,0.4292,0.4760,0.1695,0.3825,0.2559
0,49,49,0.4394,0.4972,0.1769,0.3815,0.2526
0,50,50,0.4375,0.4927,0.1759,0.3823,0.2541
0,55,55,0.4475,0.5117,0.1736,0.3832,0.2486
0,60,60,0.4509,0.5162,0.1798,0.3856,0.2485
0,65,65,0.4536,0.5196,0.1762,0.3877,0.2454
0,70,70,0.4623,0.5363,0.1844,0.3883,0.2452
0,75,75,0.4733,0.5564,0.1822,0.3901,0.2435
0,80,80,0.4899,0.5866,0.1884,0.3932,0.2426
0,85,85,0.4929,0.5933,0.1845,0.3925,0.2385
0,90,90,0.5010,0.6078,0.1906,0.3942,0.2390
0,95,95,0.5050,0.6156,0.1941,0.3943,0.2371
0,100,100,0.5119,0.6291,0.1904,0.3947,0.2344
0,105,105,0.5116,0.6246,0.1881,0.3986,0.2348
0,110,110,0.5145,0.6302,0.1895,0.3988,0.2310
0,115,115,0.5214,0.6413,0.1881,0.4014,0.2319
0,120,120,0.5233,0.6447,0.1880,0.4019,0.2322
0,125,125,0.5256,0.6503,0.1953,0.4009,0.2293
0,130,130,0.5268,0.6525,0.1942,0.4010,0.2293
0,135,135,0.5289,0.6570,0.1893,0.4009,0.2283
0,140,140,0.5283,0.6536,0.1921,0.4030,0.2307
0,145,145,0.5327,0.6615,0.1940,0.4040,0.2308
0,150,150,0.5338,0.6659,0.2005,0.4017,0.2281
0,155,155,0.5318,0.6615,0.1916,0.4021,0.2279
0,160,160,0.5321,0.6626,0.1927,0.4017,0.2272
0,165,165,0.5301,0.6570,0.1911,0.4032,0.2290
0,170,170,0.5337,0.6637,0.1940,0.4038,0.2282
0,175,175,0.5315,0.6581,0.1932,0.4048,0.2295
0,180,180,0.5319,0.6592,0.1919,0.4045,0.2287
0,185,185,0.5348,0.6637,0.1905,0.4060,0.2296
0,190,190,0.5347,0.6637,0.1919,0.4057,0.2299
0,195,195,0.5331,0.6603,0.1937,0.4058,0.2284
0,200,200,0.5348,0.6637,0.1928,0.4058,0.2286
0,300,300,0.5345,0.6615,0.1925,0.4075,0.2287
0,400,400,0.5309,0.6559,0.1901,0.4060,0.2277
0,500,500,0.5337,0.6615,0.1903,0.4058,0.2269
0,600,600,0.5342,0.6615,0.1944,0.4069,0.2287
0,700,700,0.5369,0.6682,0.2001,0.4057,0.2271
0,800,800,0.5334,0.6603,0.1948,0.4064,0.2282
0,900,900,0.5334,0.6603,0.1965,0.4065,0.2283
0,1000,1000,0.5356,0.6659,0.1958,0.4053,0.2269
0,1100,1100,0.5340,0.6603,0.1922,0.4077,0.2293
0,1200,1200,0.5346,0.6615,0.1927,0.4077,0.2282
0,1300,1300,0.5327,0.6592,0.1956,0.4062,0.2292
