epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1084,0.0838,0.0288,0.1331,0.0936
0,1,1,0.1093,0.0838,0.0288,0.1348,0.0961
0,2,2,0.1098,0.0838,0.0288,0.1358,0.0980
0,3,3,0.1103,0.0838,0.0288,0.1367,0.0993
0,4,4,0.1107,0.0838,0.0288,0.1376,0.1006
0,5,5,0.1112,0.0838,0.0288,0.1387,0.1019
0,6,6,0.1119,0.0838,0.0288,0.1401,0.1040
0,7,7,0.1121,0.0838,0.0288,0.1405,0.1047
0,8,8,0.1127,0.0838,0.0288,0.1417,0.1059
0,9,9,0.1130,0.0838,0.0288,0.1422,0.1069
0,10,10,0.1158,0.0838,0.0288,0.1479,0.1132
0,11,11,0.1196,0.0838,0.0288,0.1554,0.1212
0,12,12,0.1221,0.0838,0.0288,0.1604,0.1268
0,13,13,0.1239,0.0827,0.0285,0.1652,0.1317
0,14,14,0.1261,0.0827,0.0285,0.1696,0.1365
0,15,15,0.1289,0.0827,0.0285,0.1750,0.1423
0,16,16,0.1315,0.0827,0.0285,0.1802,0.1476
0,17,17,0.1353,0.0827,0.0285,0.1879,0.1547
0,18,18,0.1380,0.0827,0.0285,0.1934,0.1594
0,19,19,0.1408,0.0838,0.0312,0.1978,0.1625
0,20,20,0.1439,0.0838,0.0312,0.2040,0.1667
0,21,21,0.1462,0.0838,0.0312,0.2086,0.1697
0,22,22,0.1507,0.0838,0.0311,0.2175,0.1757
0,23,23,0.1543,0.0838,0.0311,0.2248,0.1803
0,24,24,0.1576,0.0838,0.0311,0.2314,0.1843
0,25,25,0.1617,0.0838,0.0311,0.2395,0.1890
0,26,26,0.1652,0.0838,0.0311,0.2467,0.1932
0,27,27,0.1699,0.0849,0.0337,0.2550,0.1978
0,28,28,0.1735,0.0849,0.0337,0.2620,0.2007
0,29,29,0.1777,0.0849,0.0337,0.2706,0.2051
0,30,30,0.1817,0.0872,0.0368,0.2763,0.2068
0,31,31,0.1865,0.0872,0.0368,0.2859,0.2116
0,32,32,0.1906,0.0872,0.0368,0.2940,0.2158
0,33,33,0.1943,0.0883,0.0394,0.3003,0.2184
0,34,34,0.1996,0.0894,0.0400,0.3098,0.2228
0,35,35,0.2048,0.0905,0.0405,0.3192,0.2276
0,36,36,0.2095,0.0905,0.0405,0.3285,0.2312
0,37,37,0.2147,0.0905,0.0405,0.3389,0.2356
0,38,38,0.2183,0.0916,0.0411,0.3449,0.2367
0,39,39,0.2245,0.0950,0.0428,0.3541,0.2399
0,40,40,0.2278,0.0950,0.0428,0.3606,0.2415
0,41,41,0.2319,0.0961,0.0436,0.3678,0.2432
0,42,42,0.2349,0.0972,0.0442,0.3726,0.2435
0,43,43,0.2377,0.0983,0.0448,0.3770,0.2451
0,44,44,0.2403,0.0994,0.0453,0.3812,0.2459
0,45,45,0.2449,0.1028,0.0469,0.3870,0.2475
0,46,46,0.2504,0.1095,0.0501,0.3913,0.2481
0,47,47,0.2547,0.1128,0.0516,0.3965,0.2493
0,48,48,0.2584,0.1162,0.0532,0.4006,0.2498
0,49,49,0.2624,0.1207,0.0552,0.4042,0.2499
0,50,50,0.2672,0.1263,0.0577,0.4082,0.2510
0,55,55,0.2904,0.1508,0.0723,0.4300,0.2562
0,60,60,0.3338,0.2190,0.1003,0.4486,0.2626
0,65,65,0.3970,0.3274,0.1326,0.4665,0.2720
0,70,70,0.4623,0.4469,0.1737,0.4776,0.2773
0,75,75,0.5197,0.5419,0.1962,0.4976,0.2921
0,80,80,0.5770,0.6402,0.2085,0.5137,0.3050
0,85,85,0.6027,0.6726,0.1740,0.5328,0.3197
0,90,90,0.6240,0.6927,0.1566,0.5552,0.3360
0,95,95,0.6357,0.6972,0.1448,0.5741,0.3490
0,100,100,0.6413,0.6972,0.1410,0.5854,0.3564
0,105,105,0.6484,0.6994,0.1413,0.5974,0.3642
0,110,110,0.6531,0.6994,0.1413,0.6068,0.3701
0,115,115,0.6556,0.6994,0.1413,0.6117,0.3735
0,120,120,0.6583,0.6983,0.1371,0.6183,0.3778
0,125,125,0.6611,0.6983,0.1371,0.6238,0.3813
0,130,130,0.6626,0.6983,0.1371,0.6269,0.3834
0,135,135,0.6629,0.6983,0.1371,0.6276,0.3841
0,140,140,0.6633,0.6983,0.1371,0.6282,0.3848
0,145,145,0.6640,0.6983,0.1371,0.6296,0.3859
0,150,150,0.6650,0.6983,0.1371,0.6316,0.3871
0,155,155,0.6656,0.6983,0.1371,0.6329,0.3880
0,160,160,0.6664,0.6983,0.1371,0.6346,0.3889
0,165,165,0.6668,0.6983,0.1371,0.6353,0.3894
0,170,170,0.6674,0.6983,0.1371,0.6364,0.3899
0,175,175,0.6681,0.6983,0.1371,0.6379,0.3909
0,180,180,0.6691,0.6983,0.1371,0.6399,0.3920
0,185,185,0.6698,0.6983,0.1371,0.6413,0.3929
0,190,190,0.6705,0.6983,0.1371,0.6428,0.3937
0,195,195,0.6709,0.6983,0.1371,0.6435,0.3941
0,200,200,0.6716,0.6983,0.1371,0.6450,0.3949
0,300,300,0.6724,0.6983,0.1371,0.6465,0.3956
0,400,400,0.6724,0.6983,0.1371,0.6465,0.3956
0,500,500,0.6724,0.6983,0.1371,0.6465,0.3956
0,600,600,0.6724,0.6983,0.1371,0.6465,0.3956
0,700,700,0.6724,0.6983,0.1371,0.6465,0.3956
0,800,800,0.6724,0.6983,0.1371,0.6465,0.3956
0,900,900,0.6724,0.6983,0.1371,0.6465,0.3956
0,1000,1000,0.6724,0.6983,0.1371,0.6465,0.3956
0,1100,1100,0.6724,0.6983,0.1371,0.6465,0.3956
0,1200,1200,0.6724,0.6983,0.1371,0.6465,0.3956
0,1300,1300,0.6724,0.6983,0.1371,0.6465,0.3956
