epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2214,0.1117,0.0766,0.3311,0.1690
0,1,1,0.2216,0.1117,0.0766,0.3314,0.1691
0,2,2,0.2211,0.1106,0.0742,0.3315,0.1691
0,3,3,0.2213,0.1106,0.0742,0.3319,0.1693
0,4,4,0.2214,0.1106,0.0742,0.3322,0.1693
0,5,5,0.2221,0.1117,0.0746,0.3326,0.1695
0,6,6,0.2224,0.1117,0.0746,0.3331,0.1698
0,7,7,0.2227,0.1117,0.0746,0.3337,0.1702
0,8,8,0.2229,0.1117,0.0745,0.3340,0.1701
0,9,9,0.2239,0.1128,0.0749,0.3349,0.1705
0,10,10,0.2240,0.1128,0.0748,0.3352,0.1702
0,11,11,0.2245,0.1128,0.0747,0.3362,0.1698
0,12,12,0.2251,0.1128,0.0746,0.3374,0.1695
0,13,13,0.2256,0.1128,0.0746,0.3384,0.1697
0,14,14,0.2263,0.1128,0.0744,0.3397,0.1701
0,15,15,0.2279,0.1140,0.0731,0.3418,0.1703
0,16,16,0.2285,0.1140,0.0731,0.3429,0.1700
0,17,17,0.2292,0.1140,0.0730,0.3445,0.1704
0,18,18,0.2298,0.1140,0.0730,0.3455,0.1703
0,19,19,0.2301,0.1140,0.0730,0.3462,0.1696
0,20,20,0.2312,0.1151,0.0734,0.3472,0.1694
0,21,21,0.2317,0.1151,0.0734,0.3484,0.1696
0,22,22,0.2323,0.1151,0.0734,0.3496,0.1699
0,23,23,0.2326,0.1151,0.0734,0.3501,0.1693
0,24,24,0.2335,0.1151,0.0733,0.3519,0.1700
0,25,25,0.2345,0.1162,0.0739,0.3528,0.1703
0,26,26,0.2354,0.1173,0.0745,0.3535,0.1704
0,27,27,0.2358,0.1173,0.0745,0.3543,0.1705
0,28,28,0.2358,0.1173,0.0745,0.3543,0.1697
0,29,29,0.2361,0.1173,0.0745,0.3549,0.1700
0,30,30,0.2369,0.1184,0.0751,0.3553,0.1699
0,31,31,0.2373,0.1184,0.0751,0.3562,0.1695
0,32,32,0.2379,0.1184,0.0750,0.3574,0.1695
0,33,33,0.2380,0.1184,0.0749,0.3576,0.1691
0,34,34,0.2387,0.1196,0.0755,0.3578,0.1687
0,35,35,0.2390,0.1196,0.0754,0.3584,0.1685
0,36,36,0.2394,0.1196,0.0754,0.3593,0.1686
0,37,37,0.2400,0.1207,0.0758,0.3593,0.1681
0,38,38,0.2401,0.1207,0.0758,0.3596,0.1678
0,39,39,0.2406,0.1207,0.0758,0.3606,0.1678
0,40,40,0.2410,0.1207,0.0758,0.3614,0.1676
0,41,41,0.2419,0.1218,0.0763,0.3619,0.1675
0,42,42,0.2424,0.1218,0.0763,0.3630,0.1677
0,43,43,0.2433,0.1229,0.0787,0.3637,0.1680
0,44,44,0.2436,0.1229,0.0788,0.3644,0.1681
0,45,45,0.2445,0.1240,0.0793,0.3649,0.1683
0,46,46,0.2447,0.1240,0.0793,0.3654,0.1682
0,47,47,0.2454,0.1251,0.0798,0.3656,0.1677
0,48,48,0.2457,0.1251,0.0799,0.3662,0.1674
0,49,49,0.2459,0.1251,0.0798,0.3666,0.1669
0,50,50,0.2487,0.1296,0.0821,0.3678,0.1673
