epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1414,0.0737,0.0630,0.2091,0.1983
0,1,1,0.1417,0.0737,0.0629,0.2096,0.1988
0,2,2,0.1421,0.0737,0.0628,0.2105,0.1997
0,3,3,0.1423,0.0737,0.0628,0.2109,0.2001
0,4,4,0.1425,0.0737,0.0628,0.2113,0.2005
0,5,5,0.1425,0.0737,0.0627,0.2113,0.2006
0,6,6,0.1435,0.0749,0.0649,0.2121,0.2013
0,7,7,0.1437,0.0749,0.0648,0.2126,0.2016
0,8,8,0.1439,0.0749,0.0647,0.2130,0.2020
0,9,9,0.1441,0.0749,0.0646,0.2134,0.2023
0,10,10,0.1447,0.0760,0.0650,0.2134,0.2021
0,11,11,0.1459,0.0771,0.0656,0.2147,0.2032
0,12,12,0.1464,0.0771,0.0656,0.2157,0.2040
0,13,13,0.1475,0.0782,0.0663,0.2168,0.2049
0,14,14,0.1475,0.0782,0.0663,0.2168,0.2048
0,15,15,0.1493,0.0804,0.0689,0.2181,0.2060
0,16,16,0.1511,0.0827,0.0714,0.2195,0.2072
0,17,17,0.1529,0.0849,0.0723,0.2208,0.2082
0,18,18,0.1537,0.0860,0.0730,0.2214,0.2086
0,19,19,0.1546,0.0872,0.0730,0.2221,0.2090
0,20,20,0.1548,0.0872,0.0726,0.2225,0.2093
0,21,21,0.1549,0.0872,0.0724,0.2227,0.2095
0,22,22,0.1563,0.0883,0.0728,0.2244,0.2109
0,23,23,0.1569,0.0883,0.0726,0.2256,0.2119
0,24,24,0.1584,0.0905,0.0735,0.2264,0.2123
0,25,25,0.1608,0.0950,0.0748,0.2266,0.2124
0,26,26,0.1610,0.0939,0.0740,0.2281,0.2136
0,27,27,0.1631,0.0972,0.0755,0.2290,0.2142
0,28,28,0.1658,0.1017,0.0776,0.2299,0.2147
0,29,29,0.1679,0.1039,0.0784,0.2318,0.2161
0,30,30,0.1720,0.1117,0.0818,0.2322,0.2162
0,31,31,0.1764,0.1196,0.0851,0.2333,0.2169
