epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.2476,0.2603,0.0979,0.2348,0.2021
0,1,1,0.2476,0.2603,0.0979,0.2348,0.2021
0,2,2,0.2481,0.2615,0.0981,0.2348,0.2021
0,3,3,0.2481,0.2615,0.0981,0.2348,0.2021
0,4,4,0.2481,0.2615,0.0981,0.2348,0.2021
0,5,5,0.2481,0.2615,0.0981,0.2348,0.2021
0,6,6,0.2481,0.2615,0.0981,0.2348,0.2021
0,7,7,0.2481,0.2615,0.0981,0.2348,0.2021
0,8,8,0.2481,0.2615,0.0981,0.2348,0.2021
0,9,9,0.2476,0.2603,0.0979,0.2348,0.2021
0,10,10,0.2470,0.2592,0.0975,0.2348,0.2021
0,11,11,0.2431,0.2514,0.0984,0.2348,0.2021
0,12,12,0.2584,0.2514,0.0984,0.2655,0.2209
0,13,13,0.2601,0.2547,0.0992,0.2655,0.2209
0,14,14,0.2607,0.2559,0.1010,0.2655,0.2209
0,15,15,0.2607,0.2559,0.1010,0.2655,0.2209
0,16,16,0.2612,0.2570,0.1013,0.2655,0.2209
0,17,17,0.2612,0.2570,0.1013,0.2655,0.2209
0,18,18,0.2579,0.2503,0.0982,0.2655,0.2209
0,19,19,0.2579,0.2503,0.0984,0.2655,0.2209
0,20,20,0.2579,0.2503,0.0986,0.2655,0.2209
0,21,21,0.2579,0.2503,0.0985,0.2655,0.2209
0,22,22,0.2557,0.2458,0.0976,0.2655,0.2209
0,23,23,0.2557,0.2458,0.0977,0.2655,0.2209
0,24,24,0.2529,0.2402,0.0929,0.2655,0.2209
0,25,25,0.2478,0.2302,0.0845,0.2655,0.2209
0,26,26,0.2467,0.2279,0.0820,0.2655,0.2209
0,27,27,0.2467,0.2279,0.0820,0.2655,0.2209
0,28,28,0.2467,0.2279,0.0820,0.2655,0.2209
0,29,29,0.2487,0.2279,0.0820,0.2695,0.2231
0,30,30,0.2510,0.2324,0.0834,0.2695,0.2231
