epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1925,0.1352,0.0802,0.2498,0.2402
0,1,1,0.1958,0.1419,0.0860,0.2496,0.2404
0,2,2,0.1988,0.1475,0.0925,0.2500,0.2406
0,3,3,0.1959,0.1430,0.0885,0.2487,0.2390
0,4,4,0.1998,0.1486,0.0907,0.2511,0.2410
0,5,5,0.1985,0.1486,0.0909,0.2485,0.2387
0,6,6,0.1993,0.1486,0.0893,0.2499,0.2401
0,7,7,0.2005,0.1497,0.0904,0.2513,0.2409
0,8,8,0.2040,0.1564,0.0925,0.2516,0.2416
0,9,9,0.2036,0.1553,0.0923,0.2520,0.2413
0,10,10,0.2044,0.1553,0.0898,0.2534,0.2419
0,11,11,0.2078,0.1598,0.0886,0.2559,0.2446
0,12,12,0.2126,0.1709,0.0951,0.2543,0.2421
0,13,13,0.2159,0.1743,0.0974,0.2574,0.2449
0,14,14,0.2226,0.1866,0.0979,0.2586,0.2445
0,15,15,0.2262,0.1899,0.0993,0.2624,0.2476
0,16,16,0.2282,0.1944,0.0974,0.2620,0.2472
0,17,17,0.2386,0.2145,0.1016,0.2626,0.2469
0,18,18,0.2446,0.2223,0.1041,0.2668,0.2497
0,19,19,0.2557,0.2447,0.1100,0.2667,0.2494
0,20,20,0.2677,0.2704,0.1150,0.2651,0.2481
0,21,21,0.2776,0.2883,0.1142,0.2669,0.2496
0,22,22,0.2859,0.3017,0.1223,0.2700,0.2516
0,23,23,0.2914,0.3106,0.1198,0.2723,0.2537
0,24,24,0.2970,0.3218,0.1222,0.2721,0.2530
0,25,25,0.3066,0.3374,0.1273,0.2758,0.2559
0,26,26,0.3071,0.3363,0.1250,0.2778,0.2574
0,27,27,0.3190,0.3575,0.1319,0.2804,0.2591
0,28,28,0.3212,0.3620,0.1291,0.2803,0.2583
0,29,29,0.3306,0.3810,0.1353,0.2802,0.2571
0,30,30,0.3356,0.3877,0.1364,0.2836,0.2592
0,31,31,0.3319,0.3788,0.1349,0.2851,0.2598
0,32,32,0.3355,0.3844,0.1360,0.2865,0.2596
0,33,33,0.3447,0.4000,0.1405,0.2894,0.2617
0,34,34,0.3476,0.4034,0.1375,0.2919,0.2627
0,35,35,0.3505,0.4045,0.1396,0.2966,0.2663
0,36,36,0.3460,0.3966,0.1401,0.2953,0.2651
0,37,37,0.3566,0.4168,0.1467,0.2964,0.2647
0,38,38,0.3590,0.4201,0.1450,0.2980,0.2652
0,39,39,0.3663,0.4346,0.1480,0.2980,0.2643
0,40,40,0.3718,0.4436,0.1520,0.2999,0.2654
0,41,41,0.3688,0.4358,0.1466,0.3019,0.2657
0,42,42,0.3661,0.4291,0.1447,0.3031,0.2649
0,43,43,0.3698,0.4346,0.1476,0.3049,0.2665
0,44,44,0.3710,0.4335,0.1466,0.3084,0.2671
0,45,45,0.3780,0.4480,0.1496,0.3080,0.2660
0,46,46,0.3784,0.4469,0.1468,0.3099,0.2666
0,47,47,0.3852,0.4570,0.1545,0.3133,0.2674
0,48,48,0.3846,0.4536,0.1530,0.3155,0.2680
0,49,49,0.3876,0.4570,0.1493,0.3183,0.2695
0,50,50,0.3931,0.4693,0.1542,0.3168,0.2663
0,55,55,0.4076,0.4849,0.1518,0.3303,0.2694
0,60,60,0.4240,0.5050,0.1541,0.3429,0.2725
0,65,65,0.4378,0.5229,0.1537,0.3527,0.2697
0,70,70,0.4507,0.5408,0.1570,0.3606,0.2705
0,75,75,0.4636,0.5598,0.1604,0.3674,0.2707
0,80,80,0.4688,0.5654,0.1579,0.3722,0.2715
0,85,85,0.4722,0.5732,0.1577,0.3713,0.2676
0,90,90,0.4728,0.5732,0.1635,0.3724,0.2655
0,95,95,0.4753,0.5754,0.1605,0.3752,0.2643
0,100,100,0.4788,0.5810,0.1608,0.3766,0.2620
0,105,105,0.4836,0.5899,0.1598,0.3773,0.2615
0,110,110,0.4889,0.5978,0.1629,0.3800,0.2627
0,115,115,0.4852,0.5911,0.1659,0.3793,0.2626
0,120,120,0.4939,0.6067,0.1817,0.3810,0.2624
0,125,125,0.4933,0.6067,0.1715,0.3799,0.2607
0,130,130,0.4933,0.6067,0.1662,0.3800,0.2593
0,135,135,0.4956,0.6089,0.1853,0.3822,0.2584
0,140,140,0.4978,0.6123,0.1854,0.3832,0.2586
0,145,145,0.4960,0.6067,0.1717,0.3853,0.2592
0,150,150,0.4959,0.6067,0.1773,0.3851,0.2578
0,155,155,0.5000,0.6134,0.1779,0.3866,0.2580
0,160,160,0.5006,0.6168,0.1799,0.3844,0.2545
0,165,165,0.5025,0.6190,0.1834,0.3860,0.2571
0,170,170,0.5031,0.6201,0.1771,0.3861,0.2537
0,175,175,0.4985,0.6134,0.1786,0.3836,0.2535
0,180,180,0.5063,0.6268,0.1858,0.3857,0.2549
0,185,185,0.5054,0.6257,0.1855,0.3851,0.2546
0,190,190,0.5042,0.6235,0.1897,0.3849,0.2535
0,195,195,0.5027,0.6212,0.1797,0.3841,0.2529
0,200,200,0.5042,0.6246,0.1828,0.3838,0.2516
0,300,300,0.5053,0.6279,0.1915,0.3826,0.2509
0,400,400,0.5043,0.6268,0.1788,0.3818,0.2506
0,500,500,0.5045,0.6246,0.1771,0.3844,0.2522
0,600,600,0.5053,0.6268,0.1820,0.3838,0.2523
0,700,700,0.5084,0.6335,0.1921,0.3832,0.2505
0,800,800,0.5059,0.6291,0.1797,0.3828,0.2512
0,900,900,0.5013,0.6179,0.1785,0.3847,0.2526
0,1000,1000,0.5076,0.6313,0.1851,0.3839,0.2524
0,1100,1100,0.5063,0.6291,0.1824,0.3835,0.2524
0,1200,1200,0.5028,0.6235,0.1813,0.3822,0.2498
0,1300,1300,0.5075,0.6313,0.1869,0.3836,0.2514
