epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.3028,0.3844,0.1578,0.2212,0.1960
0,1,1,0.3088,0.3944,0.1538,0.2233,0.1979
0,2,2,0.3179,0.4123,0.1593,0.2235,0.1989
0,3,3,0.3330,0.4425,0.1674,0.2235,0.1986
0,4,4,0.3372,0.4503,0.1713,0.2242,0.1994
0,5,5,0.3484,0.4726,0.1751,0.2242,0.2003
0,6,6,0.3468,0.4682,0.1740,0.2255,0.2031
0,7,7,0.3563,0.4860,0.1723,0.2265,0.2046
0,8,8,0.3536,0.4793,0.1742,0.2278,0.2061
0,9,9,0.3580,0.4872,0.1743,0.2288,0.2079
0,10,10,0.3620,0.4961,0.1721,0.2279,0.2094
0,11,11,0.3681,0.5039,0.1727,0.2324,0.2148
0,12,12,0.3764,0.5184,0.1735,0.2343,0.2172
0,13,13,0.3837,0.5285,0.1711,0.2389,0.2221
0,14,14,0.3865,0.5285,0.1659,0.2446,0.2264
0,15,15,0.3840,0.5240,0.1696,0.2439,0.2262
0,16,16,0.3965,0.5408,0.1678,0.2522,0.2328
0,17,17,0.3983,0.5419,0.1634,0.2547,0.2344
0,18,18,0.4024,0.5486,0.1691,0.2561,0.2356
0,19,19,0.4043,0.5453,0.1697,0.2634,0.2417
0,20,20,0.4052,0.5497,0.1697,0.2607,0.2386
0,21,21,0.4061,0.5475,0.1650,0.2647,0.2404
0,22,22,0.4193,0.5698,0.1738,0.2687,0.2441
0,23,23,0.4108,0.5553,0.1727,0.2663,0.2430
0,24,24,0.4185,0.5665,0.1678,0.2706,0.2475
0,25,25,0.4253,0.5788,0.1746,0.2719,0.2494
0,26,26,0.4246,0.5743,0.1668,0.2750,0.2531
0,27,27,0.4312,0.5844,0.1736,0.2781,0.2563
0,28,28,0.4242,0.5698,0.1685,0.2786,0.2563
0,29,29,0.4251,0.5698,0.1714,0.2804,0.2591
0,30,30,0.4340,0.5844,0.1714,0.2837,0.2607
0,31,31,0.4372,0.5888,0.1748,0.2855,0.2623
0,32,32,0.4392,0.5877,0.1710,0.2907,0.2667
0,33,33,0.4413,0.5911,0.1768,0.2915,0.2664
0,34,34,0.4458,0.5955,0.1693,0.2962,0.2676
0,35,35,0.4459,0.5955,0.1672,0.2963,0.2666
0,36,36,0.4484,0.5989,0.1654,0.2979,0.2666
0,37,37,0.4520,0.5989,0.1652,0.3051,0.2695
0,38,38,0.4521,0.5978,0.1649,0.3064,0.2709
0,39,39,0.4591,0.6067,0.1637,0.3115,0.2704
0,40,40,0.4593,0.6067,0.1697,0.3119,0.2693
0,41,41,0.4575,0.6034,0.1657,0.3116,0.2668
0,42,42,0.4553,0.6011,0.1730,0.3094,0.2662
0,43,43,0.4625,0.6123,0.1705,0.3127,0.2652
0,44,44,0.4542,0.6011,0.1650,0.3072,0.2607
