epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1919,0.0872,0.0732,0.2967,0.2525
0,1,1,0.1964,0.0883,0.0739,0.3045,0.2600
0,2,2,0.2033,0.0916,0.0772,0.3150,0.2678
0,3,3,0.2060,0.0927,0.0762,0.3193,0.2690
0,4,4,0.2110,0.0916,0.0752,0.3305,0.2775
0,5,5,0.2123,0.0894,0.0752,0.3352,0.2775
0,6,6,0.2160,0.0860,0.0713,0.3459,0.2833
0,7,7,0.2192,0.0905,0.0760,0.3479,0.2838
0,8,8,0.2190,0.0838,0.0724,0.3543,0.2877
0,9,9,0.2205,0.0838,0.0706,0.3571,0.2854
0,10,10,0.2281,0.0916,0.0759,0.3645,0.2834
0,11,11,0.2303,0.0927,0.0767,0.3678,0.2771
0,12,12,0.2284,0.0872,0.0743,0.3696,0.2726
0,13,13,0.2300,0.0894,0.0779,0.3706,0.2642
0,14,14,0.2257,0.0838,0.0726,0.3675,0.2618
0,15,15,0.2276,0.0849,0.0746,0.3702,0.2599
0,16,16,0.2300,0.0872,0.0753,0.3728,0.2604
0,17,17,0.2276,0.0827,0.0724,0.3724,0.2604
0,18,18,0.2289,0.0860,0.0771,0.3717,0.2569
0,19,19,0.2291,0.0860,0.0769,0.3722,0.2565
0,20,20,0.2294,0.0849,0.0768,0.3739,0.2528
0,21,21,0.2271,0.0804,0.0719,0.3737,0.2510
0,22,22,0.2286,0.0816,0.0710,0.3756,0.2558
0,23,23,0.2313,0.0883,0.0764,0.3744,0.2542
0,24,24,0.2326,0.0905,0.0794,0.3747,0.2517
0,25,25,0.2308,0.0872,0.0785,0.3745,0.2512
0,26,26,0.2314,0.0872,0.0752,0.3756,0.2485
0,27,27,0.2315,0.0849,0.0769,0.3780,0.2482
0,28,28,0.2352,0.0883,0.0788,0.3821,0.2535
0,29,29,0.2342,0.0894,0.0764,0.3789,0.2486
0,30,30,0.2341,0.0860,0.0789,0.3822,0.2507
0,31,31,0.2316,0.0816,0.0771,0.3815,0.2492
0,32,32,0.2311,0.0804,0.0756,0.3817,0.2483
0,33,33,0.2303,0.0782,0.0724,0.3825,0.2481
0,34,34,0.2287,0.0737,0.0703,0.3836,0.2505
0,35,35,0.2292,0.0749,0.0741,0.3836,0.2459
0,36,36,0.2276,0.0715,0.0693,0.3836,0.2480
0,37,37,0.2318,0.0782,0.0776,0.3854,0.2481
0,38,38,0.2288,0.0726,0.0724,0.3851,0.2440
0,39,39,0.2327,0.0760,0.0761,0.3895,0.2475
0,40,40,0.2330,0.0782,0.0768,0.3878,0.2466
0,41,41,0.2342,0.0804,0.0760,0.3879,0.2455
0,42,42,0.2344,0.0782,0.0731,0.3905,0.2462
0,43,43,0.2307,0.0726,0.0676,0.3888,0.2409
0,44,44,0.2342,0.0782,0.0750,0.3901,0.2425
0,45,45,0.2307,0.0726,0.0687,0.3888,0.2392
0,46,46,0.2335,0.0760,0.0734,0.3910,0.2406
0,47,47,0.2350,0.0804,0.0750,0.3895,0.2406
0,48,48,0.2340,0.0760,0.0724,0.3921,0.2409
0,49,49,0.2348,0.0771,0.0710,0.3925,0.2401
0,50,50,0.2374,0.0827,0.0753,0.3922,0.2394
0,55,55,0.2367,0.0749,0.0679,0.3984,0.2373
0,60,60,0.2362,0.0749,0.0651,0.3975,0.2315
0,65,65,0.2389,0.0782,0.0677,0.3996,0.2314
0,70,70,0.2371,0.0737,0.0647,0.4005,0.2277
0,75,75,0.2436,0.0849,0.0721,0.4023,0.2270
0,80,80,0.2456,0.0883,0.0683,0.4029,0.2270
0,85,85,0.2669,0.1307,0.0810,0.4031,0.2274
0,90,90,0.2741,0.1430,0.0865,0.4052,0.2289
0,95,95,0.2716,0.1374,0.0806,0.4058,0.2284
0,100,100,0.2752,0.1441,0.0898,0.4062,0.2281
0,105,105,0.2816,0.1575,0.0872,0.4057,0.2263
0,110,110,0.2828,0.1587,0.0900,0.4070,0.2271
0,115,115,0.2919,0.1777,0.0931,0.4062,0.2261
0,120,120,0.3026,0.1978,0.1017,0.4074,0.2278
0,125,125,0.3107,0.2134,0.1038,0.4081,0.2274
0,130,130,0.3164,0.2246,0.1075,0.4082,0.2287
0,135,135,0.3345,0.2603,0.1169,0.4086,0.2283
0,140,140,0.3366,0.2637,0.1156,0.4095,0.2291
0,145,145,0.3390,0.2682,0.1215,0.4097,0.2296
0,150,150,0.3408,0.2715,0.1215,0.4100,0.2305
0,155,155,0.3433,0.2771,0.1206,0.4095,0.2286
0,160,160,0.3421,0.2737,0.1236,0.4105,0.2302
0,165,165,0.3496,0.2872,0.1258,0.4121,0.2314
0,170,170,0.3561,0.3006,0.1277,0.4116,0.2312
0,175,175,0.3621,0.3117,0.1256,0.4125,0.2310
0,180,180,0.3629,0.3140,0.1247,0.4118,0.2310
0,185,185,0.3628,0.3140,0.1182,0.4117,0.2307
0,190,190,0.3783,0.3464,0.1274,0.4101,0.2299
0,195,195,0.3751,0.3385,0.1233,0.4117,0.2320
0,200,200,0.3865,0.3620,0.1281,0.4110,0.2311
0,300,300,0.3803,0.3497,0.1219,0.4108,0.2316
0,400,400,0.3801,0.3508,0.1195,0.4094,0.2299
0,500,500,0.3806,0.3508,0.1188,0.4104,0.2301
0,600,600,0.3726,0.3341,0.1147,0.4112,0.2318
0,700,700,0.3790,0.3497,0.1223,0.4083,0.2297
0,800,800,0.3824,0.3542,0.1192,0.4105,0.2308
0,900,900,0.3786,0.3464,0.1166,0.4108,0.2305
0,1000,1000,0.3852,0.3609,0.1206,0.4095,0.2297
0,1100,1100,0.3828,0.3553,0.1193,0.4103,0.2301
0,1200,1200,0.3748,0.3408,0.1156,0.4088,0.2294
0,1300,1300,0.3800,0.3486,0.1196,0.4113,0.2315
