epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.1892,0.0827,0.0879,0.2958,0.2508
0,1,1,0.1928,0.0849,0.0874,0.3007,0.2523
0,2,2,0.1984,0.0927,0.0883,0.3040,0.2530
0,3,3,0.2045,0.1006,0.0942,0.3085,0.2554
0,4,4,0.2027,0.0950,0.0869,0.3105,0.2553
0,5,5,0.2109,0.1117,0.0973,0.3101,0.2538
0,6,6,0.2199,0.1263,0.1059,0.3135,0.2551
0,7,7,0.2250,0.1318,0.1020,0.3181,0.2574
0,8,8,0.2281,0.1385,0.1025,0.3176,0.2551
0,9,9,0.2334,0.1464,0.1040,0.3205,0.2563
0,10,10,0.2576,0.1821,0.1146,0.3331,0.2620
0,11,11,0.2767,0.2145,0.1206,0.3389,0.2629
0,12,12,0.2909,0.2380,0.1260,0.3439,0.2642
0,13,13,0.3086,0.2693,0.1311,0.3479,0.2657
0,14,14,0.3286,0.3061,0.1390,0.3511,0.2653
0,15,15,0.3463,0.3374,0.1500,0.3552,0.2671
0,16,16,0.3587,0.3609,0.1502,0.3565,0.2706
0,17,17,0.3670,0.3765,0.1555,0.3574,0.2682
0,18,18,0.3707,0.3810,0.1607,0.3604,0.2708
0,19,19,0.3880,0.4134,0.1639,0.3626,0.2719
0,20,20,0.3808,0.3978,0.1555,0.3637,0.2746
0,21,21,0.3922,0.4223,0.1623,0.3621,0.2705
0,22,22,0.3863,0.4089,0.1643,0.3637,0.2726
0,23,23,0.4004,0.4346,0.1590,0.3661,0.2720
0,24,24,0.3904,0.4168,0.1545,0.3641,0.2729
0,25,25,0.4024,0.4369,0.1564,0.3679,0.2735
0,26,26,0.4049,0.4425,0.1592,0.3673,0.2718
0,27,27,0.4020,0.4369,0.1570,0.3671,0.2731
0,28,28,0.4060,0.4469,0.1598,0.3650,0.2703
0,29,29,0.4014,0.4380,0.1596,0.3648,0.2706
0,30,30,0.4119,0.4570,0.1614,0.3667,0.2705
0,31,31,0.3966,0.4302,0.1550,0.3630,0.2707
0,32,32,0.4163,0.4670,0.1667,0.3656,0.2696
0,33,33,0.4114,0.4559,0.1621,0.3669,0.2720
0,34,34,0.4195,0.4704,0.1629,0.3686,0.2707
0,35,35,0.4198,0.4715,0.1619,0.3680,0.2689
0,36,36,0.4236,0.4782,0.1665,0.3689,0.2701
0,37,37,0.4167,0.4637,0.1605,0.3697,0.2731
0,38,38,0.4218,0.4749,0.1591,0.3688,0.2709
0,39,39,0.4172,0.4659,0.1576,0.3684,0.2722
0,40,40,0.4234,0.4771,0.1697,0.3697,0.2720
0,41,41,0.4147,0.4615,0.1590,0.3680,0.2694
0,42,42,0.4236,0.4771,0.1593,0.3701,0.2725
0,43,43,0.4255,0.4793,0.1625,0.3717,0.2746
0,44,44,0.4268,0.4838,0.1649,0.3697,0.2713
0,45,45,0.4242,0.4771,0.1645,0.3713,0.2720
0,46,46,0.4256,0.4793,0.1613,0.3719,0.2729
0,47,47,0.4287,0.4860,0.1653,0.3713,0.2735
0,48,48,0.4318,0.4905,0.1645,0.3731,0.2740
0,49,49,0.4368,0.5017,0.1682,0.3719,0.2736
0,50,50,0.4294,0.4860,0.1648,0.3727,0.2763
0,55,55,0.4454,0.5151,0.1716,0.3757,0.2753
0,60,60,0.4478,0.5229,0.1772,0.3727,0.2717
0,65,65,0.4554,0.5374,0.1831,0.3734,0.2737
0,70,70,0.4769,0.5777,0.1819,0.3761,0.2756
0,75,75,0.4823,0.5888,0.1871,0.3757,0.2743
0,80,80,0.4879,0.5978,0.2028,0.3780,0.2755
0,85,85,0.4973,0.6145,0.1949,0.3801,0.2788
0,90,90,0.4926,0.6056,0.1894,0.3796,0.2780
0,95,95,0.4837,0.5899,0.1879,0.3775,0.2742
0,100,100,0.4928,0.6078,0.1915,0.3778,0.2725
0,105,105,0.4859,0.5922,0.1863,0.3796,0.2738
0,110,110,0.4943,0.6089,0.1907,0.3797,0.2731
0,115,115,0.4980,0.6145,0.1920,0.3815,0.2756
0,120,120,0.5004,0.6212,0.1784,0.3796,0.2756
0,125,125,0.5043,0.6257,0.1814,0.3828,0.2783
0,130,130,0.5053,0.6279,0.1841,0.3827,0.2765
